# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
1000 1.67375 -0.671232 0.146968
2000 1.73433 -0.695391 0.147811
3000 1.7088 -0.627975 0.157823
4000 1.71042 -0.639641 0.159808
5000 1.65643 -0.627778 0.146945
6000 1.74328 -0.692121 0.149714
7000 1.70218 -0.646202 0.145617
8000 1.72536 -0.613138 0.149018
9000 1.66657 -0.661086 0.145433
10000 1.69628 -0.594438 0.15958
11000 1.68503 -0.634857 0.153321
12000 1.7318 -0.61287 0.158275
13000 1.73761 -0.617799 0.163857
14000 1.66502 -0.595086 0.149713
15000 1.71138 -0.617268 0.152287
16000 1.72946 -0.620123 0.151019
17000 1.73693 -0.634204 0.150946
18000 1.73568 -0.714653 0.154899
19000 1.72371 -0.653007 0.158268
20000 1.70018 -0.632097 0.154006
21000 1.71732 -0.639053 0.157096
22000 1.71216 -0.669037 0.152294
23000 1.66228 -0.667842 0.138835
24000 1.62701 -0.656719 0.148649
25000 1.68131 -0.653918 0.147518
26000 1.69019 -0.635929 0.152831
27000 1.72039 -0.609825 0.154463
28000 1.71741 -0.608643 0.153057
29000 1.63006 -0.639093 0.147837
30000 1.70454 -0.647064 0.148912
31000 1.69811 -0.696772 0.154782
32000 1.64637 -0.692722 0.137005
33000 1.71905 -0.635441 0.15095
34000 1.65546 -0.657051 0.148227
35000 1.72299 -0.652017 0.147408
36000 1.72629 -0.601473 0.156908
37000 1.69472 -0.661002 0.152043
38000 1.65979 -0.635219 0.146624
39000 1.76208 -0.616316 0.15984
40000 1.69104 -0.627799 0.146323
41000 1.74604 -0.573547 0.166041
42000 1.73622 -0.600489 0.157877
43000 1.67585 -0.639786 0.155901
44000 1.66548 -0.678453 0.146795
45000 1.66314 -0.623442 0.147165
46000 1.74502 -0.687151 0.154743
47000 1.63992 -0.635537 0.140089
48000 1.68081 -0.665977 0.148729
49000 1.67698 -0.676255 0.146477
50000 1.64635 -0.63794 0.145706
51000 1.76408 -0.626747 0.15556
52000 1.66143 -0.592802 0.145236
53000 1.69213 -0.621867 0.151376
54000 1.64076 -0.708504 0.137788
55000 1.74983 -0.674197 0.15012
56000 1.68636 -0.623954 0.151536
57000 1.66487 -0.671856 0.148838
58000 1.65586 -0.638508 0.146716
59000 1.7152 -0.669219 0.152714
60000 1.71174 -0.637138 0.153104
61000 1.63975 -0.646406 0.142223
62000 1.71172 -0.663799 0.147811
63000 1.73465 -0.635333 0.151009
64000 1.7253 -0.60751 0.161348
65000 1.71589 -0.660675 0.149293
66000 1.67421 -0.658927 0.140539
67000 1.75349 -0.657747 0.157935
68000 1.67209 -0.65342 0.149962
69000 1.68706 -0.587371 0.150979
70000 1.71302 -0.619171 0.155378
71000 1.71447 -0.636369 0.152625
72000 1.73685 -0.649093 0.155651
73000 1.74449 -0.686784 0.153393
74000 1.73439 -0.606536 0.151786
75000 1.64978 -0.607274 0.147712
76000 1.67946 -0.636647 0.147319
77000 1.71435 -0.696823 0.150138
78000 1.6727 -0.683028 0.144256
79000 1.72443 -0.650433 0.156842
80000 1.63405 -0.655639 0.139324
81000 1.70714 -0.649115 0.145895
82000 1.66533 -0.666961 0.145892
83000 1.74061 -0.642796 0.156001
84000 1.70483 -0.669179 0.148494
85000 1.70473 -0.630715 0.153619
86000 1.72737 -0.654302 0.156052
87000 1.68432 -0.652563 0.145942
88000 1.71552 -0.594631 0.156328
89000 1.69198 -0.595543 0.147455
90000 1.70217 -0.605635 0.151863
91000 1.71072 -0.667552 0.15173
92000 1.68497 -0.626146 0.15126
93000 1.67431 -0.6341 0.143046
94000 1.66941 -0.637673 0.142366
95000 1.69479 -0.615589 0.151279
96000 1.63909 -0.643828 0.148168
97000 1.72009 -0.642474 0.152898
98000 1.7039 -0.653515 0.152779
99000 1.68014 -0.671405 0.149264
100000 1.64404 -0.650368 0.13935
101000 1.69301 -0.616119 0.1505
102000 1.66645 -0.659098 0.143659
103000 1.73293 -0.659682 0.14974
104000 1.63453 -0.63743 0.137173
105000 1.71866 -0.621499 0.147553
106000 1.75471 -0.566893 0.160439
107000 1.66944 -0.671964 0.140701
108000 1.74435 -0.600056 0.160204
109000 1.71903 -0.607829 0.150689
110000 1.64672 -0.657892 0.14341
111000 1.70514 -0.618192 0.153961
112000 1.71481 -0.629553 0.154134
113000 1.64267 -0.626844 0.141949
114000 1.70415 -0.656224 0.152059
115000 1.71594 -0.664683 0.145713
116000 1.70366 -0.668906 0.141648
117000 1.7372 -0.647753 0.153169
118000 1.74628 -0.578804 0.157661
119000 1.66286 -0.639056 0.146368
120000 1.75384 -0.605047 0.15594
121000 1.67184 -0.727145 0.147005
122000 1.72034 -0.645218 0.153332
123000 1.73268 -0.576905 0.154211
124000 1.67786 -0.620468 0.155918
125000 1.72484 -0.604392 0.152974
126000 1.66647 -0.587635 0.14628
127000 1.75695 -0.601631 0.163849
128000 1.65192 -0.644848 0.149591
129000 1.68615 -0.611261 0.151417
130000 1.75501 -0.657884 0.159895
131000 1.67322 -0.656278 0.148694
132000 1.7528 -0.613858 0.159053
133000 1.63584 -0.602997 0.142178
134000 1.72907 -0.634283 0.143731
135000 1.71273 -0.598572 0.155447
136000 1.69318 -0.706671 0.14588
137000 1.68428 -0.638849 0.14985
138000 1.7176 -0.63589 0.152821
139000 1.66528 -0.62606 0.146806
140000 1.70065 -0.616526 0.145274
141000 1.67151 -0.647213 0.14889
142000 1.724 -0.653211 0.153004
143000 1.72322 -0.604167 0.156481
144000 1.69596 -0.604169 0.14675
145000 1.70776 -0.612637 0.149062
146000 1.66436 -0.698015 0.141513
147000 1.68588 -0.68402 0.1459
148000 1.64121 -0.652905 0.139268
149000 1.71887 -0.639108 0.154699
150000 1.70447 -0.633735 0.151473
151000 1.70062 -0.644882 0.151185
152000 1.65332 -0.71595 0.142034
153000 1.72509 -0.636916 0.156449
154000 1.7681 -0.616032 0.159061
155000 1.72478 -0.614792 0.156937
156000 1.70621 -0.620882 0.148398
157000 1.732 -0.648626 0.149022
158000 1.68787 -0.664259 0.142678
159000 1.71761 -0.624219 0.156613
160000 1.68936 -0.61198 0.157127
161000 1.64595 -0.631527 0.144336
162000 1.74624 -0.623323 0.150596
163000 1.68017 -0.604666 0.149163
164000 1.67017 -0.631474 0.141738
165000 1.75663 -0.650171 0.155369
166000 1.69201 -0.659534 0.145203
167000 1.73158 -0.638002 0.157122
168000 1.68291 -0.605444 0.15203
169000 1.73356 -0.635638 0.158603
170000 1.6938 -0.642023 0.148412
171000 1.67119 -0.638262 0.142584
172000 1.69074 -0.639227 0.14897
173000 1.71392 -0.613344 0.151839
174000 1.68679 -0.623983 0.151765
175000 1.69026 -0.688594 0.155189
176000 1.70467 -0.626233 0.152331
177000 1.75432 -0.61527 0.156371
178000 1.7358 -0.647418 0.152501
179000 1.6587 -0.656115 0.142762
180000 1.66253 -0.640208 0.144973
181000 1.74742 -0.583616 0.163569
182000 1.69332 -0.617963 0.147794
183000 1.70712 -0.657876 0.14518
184000 1.6727 -0.673207 0.140621
185000 1.65746 -0.656677 0.141219
186000 1.69986 -0.651699 0.151411
187000 1.70113 -0.661488 0.152485
188000 1.69682 -0.652055 0.154405
189000 1.63725 -0.638183 0.143656
190000 1.77377 -0.68476 0.161898
191000 1.6725 -0.639575 0.140494
192000 1.68339 -0.668581 0.146844
193000 1.71308 -0.648694 0.154994
194000 1.65302 -0.632973 0.147817
195000 1.76855 -0.574707 0.161612
196000 1.67597 -0.624224 0.150833
197000 1.72398 -0.637265 0.151284
198000 1.71721 -0.660588 0.151591
199000 1.65021 -0.666157 0.143034
200000 1.68885 -0.591679 0.152619
201000 1.70859 -0.655161 0.14283
202000 1.74941 -0.615618 0.155526
203000 1.69393 -0.652384 0.145888
204000 1.66769 -0.619842 0.144031
205000 1.68691 -0.602736 0.148624
206000 1.77056 -0.597794 0.161728
207000 1.71367 -0.639491 0.148794
208000 1.72196 -0.627637 0.146985
209000 1.69136 -0.62441 0.14672
210000 1.75151 -0.652275 0.156741
211000 1.63675 -0.647401 0.140866
212000 1.69683 -0.670633 0.149456
213000 1.72704 -0.57444 0.15438
214000 1.74387 -0.628806 0.158145
215000 1.67627 -0.657727 0.145623
216000 1.64228 -0.615287 0.149187
217000 1.66465 -0.628868 0.146634
218000 1.72073 -0.676975 0.152781
219000 1.7381 -0.597891 0.155811
220000 1.69115 -0.607809 0.144712
221000 1.68404 -0.592642 0.152345
222000 1.66913 -0.612219 0.143624
223000 1.72038 -0.681627 0.145533
224000 1.7436 -0.612487 0.154134
225000 1.66252 -0.704944 0.142133
226000 1.76004 -0.63808 0.161078
227000 1.6541 -0.60184 0.147321
228000 1.74411 -0.60417 0.156311
229000 1.73339 -0.653092 0.159585
230000 1.68687 -0.670003 0.146114
231000 1.70674 -0.67034 0.147254
232000 1.69012 -0.621055 0.15182
233000 1.73467 -0.672313 0.156817
234000 1.71293 -0.647057 0.153085
235000 1.67146 -0.701661 0.147648
236000 1.71193 -0.651954 0.152015
237000 1.73446 -0.650134 0.155722
238000 1.74762 -0.67747 0.154471
239000 1.66225 -0.616449 0.147178
240000 1.69825 -0.687221 0.150795
241000 1.72056 -0.654616 0.154116
242000 1.67635 -0.658187 0.147559
243000 1.71426 -0.638407 0.157475
244000 1.69814 -0.638765 0.146115
245000 1.68876 -0.636646 0.149991
246000 1.67027 -0.634069 0.144337
247000 1.72912 -0.581848 0.152688
248000 1.6729 -0.627507 0.148325
249000 1.67887 -0.660943 0.146124
250000 1.67123 -0.656359 0.14905
251000 1.69557 -0.628039 0.147441
252000 1.74052 -0.558417 0.160289
253000 1.68189 -0.566214 0.155962
254000 1.71423 -0.662519 0.153091
255000 1.68437 -0.658866 0.146346
256000 1.74308 -0.637082 0.157357
257000 1.6903 -0.629473 0.147403
258000 1.70786 -0.692808 0.147067
259000 1.70585 -0.632962 0.153512
260000 1.66551 -0.627458 0.147416
261000 1.65807 -0.630682 0.1435
262000 1.67267 -0.604428 0.146763
263000 1.71415 -0.648284 0.15536
264000 1.73652 -0.640322 0.155539
265000 1.70075 -0.596874 0.155898
266000 1.75431 -0.668549 0.161703
267000 1.66165 -0.672605 0.140382
268000 1.68628 -0.617496 0.149862
269000 1.66763 -0.647945 0.150305
270000 1.72899 -0.68496 0.15032
271000 1.64899 -0.673347 0.143859
272000 1.68142 -0.658008 0.148035
273000 1.69641 -0.627461 0.146401
274000 1.71422 -0.618315 0.148172
275000 1.69654 -0.607719 0.151076
276000 1.71516 -0.60033 0.157147
277000 1.68764 -0.616984 0.148385
278000 1.68232 -0.731229 0.141406
279000 1.65934 -0.748899 0.13452
280000 1.71701 -0.630958 0.152904
281000 1.72052 -0.602245 0.15567
282000 1.7258 -0.714553 0.151645
283000 1.74532 -0.626348 0.154691
284000 1.67484 -0.588952 0.148239
285000 1.68563 -0.651732 0.143723
286000 1.63446 -0.665744 0.1388
287000 1.71226 -0.603575 0.154327
288000 1.72222 -0.652258 0.151568
289000 1.70784 -0.677286 0.151218
290000 1.73618 -0.663167 0.154851
291000 1.67809 -0.604988 0.147907
292000 1.6897 -0.625941 0.150861
293000 1.74911 -0.644253 0.154158
294000 1.69893 -0.648868 0.151136
295000 1.67122 -0.701947 0.139601
296000 1.67995 -0.671486 0.143382
297000 1.75241 -0.644717 0.158764
298000 1.72899 -0.665055 0.150641
299000 1.73348 -0.678863 0.150632
300000 1.68723 -0.619078 0.146077
301000 1.71005 -0.633466 0.153186
302000 1.7343 -0.620116 0.154911
303000 1.72817 -0.626879 0.146923
304000 1.64657 -0.700646 0.143197
305000 1.72279 -0.675617 0.150393
306000 1.73945 -0.592858 0.15619
307000 1.73123 -0.606138 0.156213
308000 1.67248 -0.678882 0.149256
309000 1.68041 -0.647517 0.148646
310000 1.71588 -0.588305 0.158351
311000 1.72844 -0.614395 0.155396
312000 1.71332 -0.678595 0.150772
313000 1.64743 -0.630485 0.143542
314000 1.75961 -0.65259 0.158639
315000 1.70505 -0.633241 0.150705
316000 1.66888 -0.62267 0.149128
317000 1.71733 -0.669013 0.152307
318000 1.64148 -0.674957 0.145601
319000 1.71287 -0.666242 0.153701
320000 1.73734 -0.592545 0.156249
321000 1.73777 -0.677475 0.149539
322000 1.6789 -0.648265 0.146587
323000 1.69688 -0.580253 0.151072
324000 1.65117 -0.641931 0.138729
325000 1.72663 -0.65324 0.154229
326000 1.67372 -0.657958 0.145134
327000 1.72993 -0.625852 0.154424
328000 1.66429 -0.616829 0.153171
329000 1.72745 -0.693654 0.149102
330000 1.76194 -0.601388 0.158372
331000 1.69242 -0.621945 0.157831
332000 1.70208 -0.637449 0.141951
333000 1.7361 -0.661932 0.152193
334000 1.69937 -0.686291 0.153412
335000 1.64569 -0.617353 0.14273
336000 1.67578 -0.603541 0.148065
337000 1.68397 -0.688398 0.140022
338000 1.72357 -0.63889 0.152827
339000 1.704 -0.639023 0.151849
340000 1.69095 -0.621171 0.152554
341000 1.68805 -0.688232 0.145931
342000 1.73759 -0.595736 0.158653
343000 1.72051 -0.628571 0.153896
344000 1.65729 -0.636542 0.149558
345000 1.70617 -0.625203 0.149623
346000 1.6973 -0.640402 0.148036
347000 1.71433 -0.635919 0.156696
348000 1.66896 -0.658849 0.145049
349000 1.68457 -0.645029 0.14998
350000 1.70971 -0.636165 0.150813
351000 1.69942 -0.658572 0.147008
352000 1.66794 -0.638279 0.145597
353000 1.70887 -0.609912 0.14661
354000 1.69224 -0.665918 0.150303
355000 1.73566 -0.586316 0.159609
356000 1.63877 -0.647479 0.146532
357000 1.72874 -0.600812 0.15374
358000 1.65834 -0.619415 0.147382
359000 1.69319 -0.743691 0.144065
360000 1.69252 -0.6931 0.154128
361000 1.71694 -0.632692 0.149378
362000 1.6745 -0.66294 0.149556
363000 1.76125 -0.599331 0.156716
364000 1.72326 -0.640439 0.151993
365000 1.70139 -0.665658 0.14245
366000 1.72096 -0.603271 0.157326
367000 1.71086 -0.668689 0.149024
368000 1.63888 -0.649636 0.138962
369000 1.7541 -0.584607 0.158832
370000 1.66329 -0.663069 0.145597
371000 1.68407 -0.621282 0.152001
372000 1.68647 -0.596544 0.152229
373000 1.68238 -0.582519 0.149604
374000 1.71187 -0.640024 0.148421
375000 1.74603 -0.592875 0.157189
376000 1.68949 -0.641873 0.146429
377000 1.70999 -0.629556 0.15242
378000 1.70917 -0.609021 0.152929
379000 1.76629 -0.639229 0.155874
380000 1.67317 -0.63286 0.14369
381000 1.73448 -0.60642 0.158913
382000 1.65798 -0.608958 0.147514
383000 1.71923 -0.603176 0.154513
384000 1.68127 -0.612721 0.149904
385000 1.7361 -0.634146 0.155095
386000 1.71609 -0.644129 0.149582
387000 1.75356 -0.614478 0.157371
388000 1.6663 -0.6067 0.148019
389000 1.71238 -0.63459 0.148794
390000 1.70066 -0.686859 0.152119
391000 1.66146 -0.66523 0.139663
392000 1.70812 -0.658842 0.149244
393000 1.69228 -0.63059 0.148574
394000 1.65364 -0.6564 0.141695
395000 1.73315 -0.667677 0.153451
396000 1.64169 -0.612187 0.142835
397000 1.71703 -0.63412 0.153814
398000 1.68072 -0.616028 0.146983
399000 1.76097 -0.643711 0.157413
400000 1.70335 -0.614177 0.14898
401000 1.76456 -0.652885 0.155644
402000 1.72269 -0.645008 0.151017
403000 1.7264 -0.63883 0.152119
404000 1.64082 -0.592074 0.147236
405000 1.70541 -0.607697 0.155511
406000 1.66538 -0.653118 0.150242
407000 1.72413 -0.604425 0.156193
408000 1.71201 -0.613139 0.147974
409000 1.73838 -0.637667 0.152122
410000 1.71256 -0.645992 0.150859
411000 1.64459 -0.620656 0.149893
412000 1.71665 -0.666174 0.145935
413000 1.68072 -0.57493 0.149106
414000 1.66519 -0.648415 0.14604
415000 1.75342 -0.571316 0.158003
416000 1.64608 -0.658391 0.147657
417000 1.71295 -0.702171 0.146042
418000 1.66858 -0.666228 0.149406
419000 1.70641 -0.635858 0.147947
420000 1.69044 -0.603702 0.148296
421000 1.72661 -0.62875 0.159069
422000 1.66448 -0.597911 0.148151
423000 1.74604 -0.595836 0.153781
424000 1.64524 -0.688516 0.140993
425000 1.7296 -0.611298 0.163364
426000 1.71735 -0.656305 0.145991
427000 1.72234 -0.621904 0.157135
428000 1.66662 -0.6638 0.144582
429000 1.64508 -0.694065 0.142638
430000 1.74902 -0.618115 0.157901
431000 1.72508 -0.571066 0.15156
432000 1.6982 -0.635303 0.142834
433000 1.71357 -0.612067 0.148319
434000 1.69071 -0.633073 0.142872
435000 1.70804 -0.651119 0.146348
436000 1.70457 -0.627968 0.148745
437000 1.68002 -0.624452 0.147475
438000 1.72749 -0.643253 0.153579
439000 1.68307 -0.654953 0.15285
440000 1.70166 -0.601146 0.153807
441000 1.73257 -0.633497 0.156808
442000 1.69638 -0.664193 0.147607
443000 1.69224 -0.6169 0.149793
444000 1.75278 -0.628319 0.159114
445000 1.68945 -0.641813 0.149615
446000 1.68741 -0.649351 0.148031
447000 1.67173 -0.621022 0.149471
448000 1.73877 -0.717856 0.15153
449000 1.67173 -0.663649 0.146671
450000 1.66494 -0.682283 0.140745
451000 1.68345 -0.646285 0.150093
452000 1.7 -0.630126 0.155025
453000 1.67199 -0.63826 0.148814
454000 1.72397 -0.632347 0.153869
455000 1.65325 -0.629985 0.148433
456000 1.72178 -0.617934 0.151043
457000 1.71139 -0.602205 0.151472
458000 1.76063 -0.638914 0.156123
459000 1.63317 -0.694394 0.138572
460000 1.68017 -0.623497 0.145488
461000 1.69564 -0.576964 0.149465
462000 1.67688 -0.662149 0.145794
463000 1.68941 -0.66229 0.153688
464000 1.66044 -0.621098 0.147873
465000 1.74557 -0.602178 0.156993
466000 1.71348 -0.70404 0.146498
467000 1.70656 -0.675126 0.147192
468000 1.71066 -0.603052 0.154933
469000 1.7052 -0.613493 0.15627
470000 1.71921 -0.626997 0.154395
471000 1.70174 -0.654254 0.147073
472000 1.76557 -0.615761 0.161343
473000 1.69148 -0.676087 0.147663
474000 1.67691 -0.630878 0.145044
475000 1.69877 -0.605305 0.156988
476000 1.67409 -0.636051 0.145835
477000 1.74278 -0.693538 0.151335
478000 1.68236 -0.656573 0.147992
479000 1.63595 -0.623256 0.140224
480000 1.72181 -0.626672 0.155447
481000 1.71615 -0.635894 0.15835
482000 1.64836 -0.681373 0.146233
483000 1.75525 -0.707055 0.149606
484000 1.69975 -0.675293 0.14938
485000 1.65719 -0.640433 0.142131
486000 1.70407 -0.629528 0.148009
487000 1.76759 -0.661925 0.158553
488000 1.63681 -0.627846 0.140647
489000 1.69014 -0.673475 0.152398
490000 1.70674 -0.563873 0.153328
491000 1.72698 -0.583899 0.153407
492000 1.71519 -0.612968 0.152347
493000 1.68876 -0.639838 0.147739
494000 1.75084 -0.649708 0.153172
495000 1.68395 -0.682489 0.145607
496000 1.70819 -0.610025 0.154027
497000 1.64036 -0.656426 0.138408
498000 1.71587 -0.576565 0.148215
499000 1.68169 -0.609088 0.152125
500000 1.70834 -0.595566 0.144779
501000 1.63304 -0.635771 0.146394
502000 1.71836 -0.606017 0.151315
503000 1.71475 -0.601997 0.152519
504000 1.64722 -0.677494 0.137141
505000 1.66275 -0.63759 0.142678
506000 1.68195 -0.677917 0.144279
507000 1.70853 -0.632446 0.149421
508000 1.69119 -0.641408 0.142285
509000 1.70246 -0.631947 0.153705
510000 1.71493 -0.662692 0.147623
511000 1.72483 -0.611672 0.153575
512000 1.71908 -0.672052 0.152788
513000 1.65018 -0.683688 0.14593
514000 1.72012 -0.653405 0.15186
515000 1.75901 -0.634712 0.154033
516000 1.71501 -0.629916 0.158036
517000 1.69102 -0.65424 0.150836
518000 1.73096 -0.675065 0.151413
519000 1.70779 -0.690849 0.143862
520000 1.75068 -0.638148 0.162722
521000 1.67411 -0.707666 0.143375
522000 1.73277 -0.650709 0.147993
523000 1.76792 -0.629457 0.155747
524000 1.73737 -0.591185 0.157546
525000 1.7062 -0.576983 0.153932
526000 1.6593 -0.646884 0.144317
527000 1.76208 -0.620119 0.160935
528000 1.65379 -0.624693 0.149592
529000 1.70473 -0.65252 0.144209
530000 1.69733 -0.647356 0.151187
531000 1.71733 -0.616269 0.154463
532000 1.71175 -0.606705 0.14957
533000 1.70356 -0.639527 0.152748
534000 1.74021 -0.63984 0.151638
535000 1.70411 -0.633656 0.14687
536000 1.71249 -0.64932 0.146694
537000 1.65725 -0.63087 0.147071
538000 1.76067 -0.634778 0.156864
539000 1.69966 -0.608536 0.151458
540000 1.64461 -0.640764 0.142633
541000 1.73942 -0.670744 0.155524
542000 1.67318 -0.616628 0.151571
543000 1.6748 -0.648694 0.144587
544000 1.69856 -0.625706 0.150542
545000 1.76519 -0.630619 0.161455
546000 1.66313 -0.668269 0.143939
547000 1.72448 -0.631909 0.153222
548000 1.69012 -0.576715 0.152056
549000 1.73585 -0.602143 0.158422
550000 1.67872 -0.653043 0.146703
551000 1.75646 -0.623245 0.157856
552000 1.6513 -0.596743 0.149768
553000 1.74053 -0.631167 0.160114
554000 1.67489 -0.63222 0.148872
555000 1.73298 -0.607037 0.156629
556000 1.69696 -0.623346 0.145882
557000 1.73647 -0.636357 0.161723
558000 1.70736 -0.651131 0.145485
559000 1.71395 -0.606119 0.151091
560000 1.71696 -0.627467 0.154678
561000 1.72375 -0.612014 0.15159
562000 1.70678 -0.578961 0.159603
563000 1.69344 -0.623601 0.153931
564000 1.74952 -0.636929 0.156764
565000 1.66027 -0.574826 0.14824
566000 1.66533 -0.587189 0.153305
567000 1.70332 -0.624818 0.150835
568000 1.73031 -0.675669 0.152343
569000 1.68478 -0.610141 0.154425
570000 1.71775 -0.632812 0.15594
571000 1.69855 -0.645567 0.14755
572000 1.78077 -0.604057 0.154376
573000 1.6666 -0.642066 0.142425
574000 1.74324 -0.60227 0.157631
575000 1.70615 -0.607635 0.151429
576000 1.72555 -0.61197 0.148997
577000 1.63084 -0.666507 0.141469
578000 1.68824 -0.641454 0.147341
579000 1.7053 -0.617814 0.151954
580000 1.69526 -0.61648 0.154316
581000 1.74021 -0.607946 0.157571
582000 1.64616 -0.602735 0.142134
583000 1.71178 -0.628619 0.148985
584000 1.73396 -0.619971 0.157896
585000 1.72769 -0.611144 0.151529
586000 1.65296 -0.659925 0.141426
587000 1.72211 -0.624231 0.154289
588000 1.71096 -0.610178 0.151858
589000 1.71505 -0.610974 0.155618
590000 1.76506 -0.59876 0.160595
591000 1.64368 -0.645327 0.143434
592000 1.76407 -0.635875 0.153798
