# Time-averaged data for fix 2
# TimeStep v_Temperature v_PotentialEnergy v_Pressure
2000 1.4843 -0.0923529 0.0141835
3000 1.56145 -0.0623098 0.0151184
4000 1.54647 -0.0708454 0.0150041
5000 1.49471 -0.0646707 0.0145023
6000 1.48741 -0.0682868 0.0143857
7000 1.51158 -0.0733635 0.0145962
8000 1.48733 -0.0736793 0.0145864
9000 1.49375 -0.0867612 0.0143119
10000 1.54856 -0.0800456 0.0152235
11000 1.45346 -0.0920074 0.0140363
12000 1.52005 -0.0817421 0.0147198
13000 1.51661 -0.0850263 0.0145648
14000 1.44332 -0.0841647 0.0139205
15000 1.53392 -0.0893833 0.0148498
16000 1.45591 -0.0933233 0.0140648
17000 1.53194 -0.0899094 0.0147616
18000 1.51351 -0.0728932 0.0147413
19000 1.53476 -0.0820971 0.0147431
20000 1.43879 -0.0735196 0.0139909
21000 1.52471 -0.0701871 0.0148554
22000 1.46001 -0.0811036 0.0140671
23000 1.50753 -0.0879556 0.0146008
24000 1.50425 -0.0849165 0.0145293
25000 1.52623 -0.0780351 0.0148693
26000 1.44846 -0.0583826 0.0141189
27000 1.53458 -0.0718964 0.0148961
28000 1.45163 -0.0802665 0.0140875
29000 1.53577 -0.0841854 0.0147962
30000 1.50829 -0.0481404 0.014834
31000 1.50309 -0.0588924 0.0148177
32000 1.53131 -0.072957 0.0145908
33000 1.44605 -0.0625875 0.0142233
34000 1.54441 -0.0512326 0.0153316
35000 1.45978 -0.0755744 0.0140504
36000 1.54591 -0.0718686 0.0149668
37000 1.53439 -0.0826671 0.0150521
38000 1.46808 -0.0695022 0.014252
39000 1.45501 -0.057242 0.0142566
40000 1.53683 -0.057891 0.0149134
41000 1.51641 -0.0618209 0.014786
42000 1.48437 -0.0548289 0.0144999
43000 1.47031 -0.0684179 0.0142525
44000 1.54346 -0.0586987 0.0149828
45000 1.49139 -0.0802623 0.0143757
46000 1.47693 -0.0848818 0.0142716
47000 1.53137 -0.0795761 0.0148217
48000 1.47903 -0.0828026 0.0143513
49000 1.5227 -0.101561 0.0145512
50000 1.49427 -0.0682389 0.0144265
51000 1.50946 -0.068033 0.0145661
52000 1.50037 -0.0580699 0.0147381
53000 1.51984 -0.0785168 0.0148338
54000 1.47313 -0.0613242 0.0143258
55000 1.52395 -0.0680344 0.0146814
56000 1.45956 -0.0715304 0.0141705
57000 1.49281 -0.0821631 0.0142934
58000 1.43899 -0.0728173 0.0139708
59000 1.47713 -0.0612588 0.0143177
60000 1.49295 -0.0647647 0.0143486
61000 1.50731 -0.0745272 0.0146022
62000 1.49987 -0.0717307 0.0146374
63000 1.53151 -0.0800395 0.014714
64000 1.49138 -0.076888 0.0142872
65000 1.52252 -0.0906784 0.0145425
66000 1.5088 -0.0972421 0.014579
67000 1.46387 -0.111874 0.0141826
68000 1.46776 -0.108256 0.0139088
69000 1.50498 -0.0901413 0.0144376
70000 1.51687 -0.101995 0.0144944
71000 1.45516 -0.0859631 0.0140448
72000 1.50739 -0.0811985 0.0147721
73000 1.44453 -0.0913764 0.0136874
74000 1.54507 -0.0813035 0.0147832
75000 1.47695 -0.0877009 0.0140164
76000 1.50269 -0.0899761 0.0145005
77000 1.50722 -0.0821561 0.0142758
78000 1.48739 -0.0806587 0.0144183
79000 1.54188 -0.0774639 0.0148097
80000 1.46009 -0.0645912 0.0142009
81000 1.536 -0.0778265 0.0148814
82000 1.52247 -0.0758351 0.0146746
